# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=100
# for k=1.045e-05 to 208.72 h/Mpc,
# number of wavenumbers equal to 135
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                    9:t_g                   10:t_b                   11:t_cdm                 12:t_ur                  13:t_tot              
       1.208007995279e-01      -2.588790525265e-01      -1.352863781839e+02      -1.876785181490e+02      -2.587366368333e-01      -1.744058002135e+02       6.468415920833e-02       6.468415920833e-02      -9.993125910600e-06       2.190210061830e-01       2.270981446539e-01      -9.759451914756e-06       2.172532209612e-01 
       1.248866179252e-01      -2.508808886952e-01      -1.443982638742e+02      -1.936011447554e+02      -2.507421539021e-01      -1.806367022886e+02       6.268553847553e-02       6.268553847553e-02      -9.651535031382e-06       2.280364203698e-01       2.350246925923e-01      -9.422838517067e-06       2.250401699185e-01 
       1.290983450694e-01      -2.425875178106e-01      -1.523681646280e+02      -1.994523241104e+02      -2.424529294015e-01      -1.866373614998e+02       6.061323235037e-02       6.061323235037e-02      -9.317202696902e-06       2.363933331534e-01       2.427106394288e-01      -9.094695085864e-06       2.325334826353e-01 
       1.334420934736e-01      -2.336929814825e-01      -1.582265437137e+02      -2.050202731343e+02      -2.335632260927e-01      -1.920882380695e+02       5.839080652319e-02       5.839080652319e-02      -8.982373462692e-06       2.434989682293e-01       2.497709612034e-01      -8.767707074327e-06       2.393318706662e-01 
       1.379239629445e-01      -2.240656975137e-01      -1.613081824463e+02      -2.101327519699e+02      -2.239415180541e-01      -1.967479828052e+02       5.598537951353e-02       5.598537951353e-02      -8.634708639435e-06       2.489520550039e-01       2.559065894905e-01      -8.429604338457e-06       2.451324379435e-01 
       1.425500518820e-01      -2.137984102307e-01      -1.614732608826e+02      -2.147071043500e+02      -2.136804259050e-01      -2.005277353055e+02       5.342010647626e-02       5.342010647626e-02      -8.278558053563e-06       2.526658955869e-01       2.610022349396e-01      -8.084426356669e-06       2.498285373171e-01 
       1.473264665541e-01      -2.031802463455e-01      -1.592463722822e+02      -2.187877930851e+02      -2.030687839474e-01      -2.035428240037e+02       5.076719598686e-02       5.076719598686e-02      -7.914166323059e-06       2.549640343425e-01       2.651787442969e-01      -7.731740992139e-06       2.535665817049e-01 
       1.522593294067e-01      -1.926514794307e-01      -1.558187311637e+02      -2.225613158692e+02      -1.925464623997e-01      -2.061253415089e+02       4.813661559994e-02       4.813661559994e-02      -7.546434411699e-06       2.565772556122e-01       2.688182634613e-01      -7.375549403004e-06       2.567660576224e-01 
       1.573547873875e-01      -1.827071174925e-01      -1.528645540994e+02      -2.263352036762e+02      -1.826080438870e-01      -2.087793124929e+02       4.565201097175e-02       4.565201097175e-02      -7.186105143147e-06       2.585293036914e-01       2.725132098922e-01      -7.025670339026e-06       2.600610261653e-01 
       1.626190212143e-01      -1.737732969390e-01      -1.521566495363e+02      -2.304739866334e+02      -1.736793230272e-01      -2.120703654413e+02       4.341983075680e-02       4.341983075680e-02      -6.845097009209e-06       2.619042699178e-01       2.769398446188e-01      -6.693302944306e-06       2.641627046848e-01 
       1.680582564854e-01      -1.660835534138e-01      -1.550541869723e+02      -2.352962304122e+02      -1.659936740479e-01      -2.164642411050e+02       4.149841851197e-02       4.149841851197e-02      -6.532187169481e-06       2.675297574967e-01       2.826629915634e-01      -6.386910846302e-06       2.696535279464e-01 
       1.736787775114e-01      -1.596021138995e-01      -1.619891828492e+02      -2.409630633754e+02      -1.595153994738e-01      -2.221581238972e+02       3.987884986845e-02       3.987884986845e-02      -6.251324254741e-06       2.756616002208e-01       2.899352592007e-01      -6.110649157882e-06       2.767769710101e-01 
       1.794869447334e-01      -1.540204648541e-01      -1.721571607538e+02      -2.473944445597e+02      -1.539362868748e-01      -2.289654256333e+02       3.848407171870e-02       3.848407171870e-02      -6.000430857960e-06       2.857946876862e-01       2.985538769722e-01      -5.863128577436e-06       2.852929863008e-01 
       1.854892165853e-01      -1.488619376159e-01      -1.836157804420e+02      -2.542789188858e+02      -1.487800969900e-01      -2.363386157191e+02       3.719502424750e-02       3.719502424750e-02      -5.771788310982e-06       2.967527431008e-01       3.078932754520e-01      -5.637581924034e-06       2.945178562230e-01 
       1.916921766519e-01      -1.435958475016e-01      -1.937551053029e+02      -2.611095611096e+02      -1.435165888841e-01      -2.434693887935e+02       3.587914722103e-02       3.587914722103e-02      -5.553333980670e-06       3.069324100780e-01       3.169959173069e-01      -5.422898867963e-06       3.034343744397e-01 
       1.981025669786e-01      -1.378040790479e-01      -2.001809782290e+02      -2.673240902643e+02      -1.377279605280e-01      -2.495364197138e+02       3.443199013200e-02       3.443199013200e-02      -5.331603678904e-06       3.148167586280e-01       3.248505737695e-01      -5.206252719943e-06       3.109945387158e-01 
       2.047273284017e-01      -1.314021681349e-01      -2.018466966535e+02      -2.726184594178e+02      -1.313297745453e-01      -2.541328384702e+02       3.283244363632e-02       3.283244363632e-02      -5.100157566897e-06       3.197714524991e-01       3.309494896733e-01      -4.981218382881e-06       3.166910797953e-01 
       2.115736488004e-01      -1.246623541622e-01      -1.996810656476e+02      -2.771121401896e+02      -1.245940059270e-01      -2.574962823184e+02       3.114850148176e-02       3.114850148176e-02      -4.861216209639e-06       3.224330963202e-01       3.355730462771e-01      -4.749413263975e-06       3.208467211647e-01 
